title,subtitle,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,imgUrl,isClaimed,timestamp,friday,saturday,sunday,monday,tuesday,wednesday,thursday,latitude,longitude
Lake Ohrid,Охридско Езеро,4.8,639,Lake,This large ancient lake straddling the border between Albania & Macedonia reaches a depth of 300m.,,,,,https://lh5.googleusercontent.com/p/AF1QipMmB1x1S-WJBppb4HVzPvjsJJ_0YpxcYjb5oBXQ=w408-h544-k-no,true,2020-11-13T13:54:26.160Z,,,,,,,,,
Mavrovo Lake,Мавровско Езеро,4.6,103,Lake,"Lake bordered by mountains popular for fishing, boating & views of a partially submerged church.",North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipOKoRurn-uw3dDe4QociJRfT3xDhvSoDO8ruCyY=w427-h240-k-no,true,2020-11-13T13:54:27.190Z,,,,,,,,,
Kozjak Lake,Езеро Козјак,4.8,143,Lake,,North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipN6MUw3S_ZRC_MtR_SVVT2cxs2hekDGFmfvDIhL=w408-h272-k-no,true,2020-11-13T13:54:28.006Z,,,,,,,,,
Tikvesh Lake,Тиквешко Езеро,4.5,83,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:30.274Z,,,,,,,,,
Lake Prespa,Преспанско Езеро,4.7,264,Lake,Picturesque freshwater lake bordered by national parkland offering trails & abundant flora & fauna.,,,,,,true,2020-11-13T13:54:30.846Z,,,,,,,,,
Matka Lake,Езеро Матка,4.8,280,Lake,,North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipNI22a_nN5zdVJJM7MY82NyrFjmookSVnwfHzQ6=w408-h544-k-no,true,2020-11-13T13:54:31.510Z,,,,,,,,,
Black Lake,Црно Езеро,5,8,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:32.250Z,,,,,,,,,
Lake Mantovo,Езеро Мантово,4.5,36,Lake,,North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipPs1iyJkPYvNgjG0E8eiaZko-pPqbQgMTAX-8Ks=w408-h306-k-no,true,2020-11-13T13:54:32.973Z,,,,,,,,,
Large Lake,Golemo Ezero,5,14,Lake,,North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipMQp9OmrzWW4ly_EUFfrm7EGUy40gmZQnqJ6gke=w408-h306-k-no,true,2020-11-13T13:54:33.444Z,,,,,,,,,
Dojran Lake,Дојранско Езеро,4.3,429,Lake,Picturesque lake bordered by national parkland featuring trails alongside abundant flora & fauna.,,,,,https://lh5.googleusercontent.com/p/AF1QipNz-qHSh_RE1T2FXiGwV5OuYyexNQWZCEdExiFN=w408-h306-k-no,true,2020-11-13T13:54:34.090Z,,,,,,,,,
Krushevo Lake,Крушевско Езеро,4.9,37,Lake,,North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipNUwgnMMmh04pM8YeNCc6Xw7Ev5I0BDriV4y1ME=w408-h272-k-no,true,2020-11-13T13:54:34.708Z,,,,,,,,,
Treska Lake,Езеро Треска,4.4,31,Lake,,North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipPPQWzOu6mc107HZlOUFASCSelUW01Y2gMmzRx3=w408-h306-k-no,true,2020-11-13T13:54:35.840Z,,,,,,,,,
Belovodica Lake,Беловодичко Езеро,4.4,5,Lake,,North Macedonia,,,,https://lh5.googleusercontent.com/p/AF1QipMw8_9V_NQreMkpvPh73f3vN0dK-Als6rIXARIS=w408-h244-k-no,true,2020-11-13T13:54:36.590Z,,,,,,,,,
Lake Paljurci,Езеро Паљурци,4.5,31,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:37.190Z,,,,,,,,,
Lake Vodocha,Езеро Водоча,4.7,34,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:37.722Z,,,,,,,,,
Black Drim's Springs,Изворите на Црн Дрим,4.9,30,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:38.329Z,,,,,,,,,
Bogovinje Lake,Боговинско езеро,4.6,9,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:38.890Z,,,,,,,,,
Tikvesko Ezero,,4.7,11,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:41.891Z,,,,,,,,,
Lokuv,,4.3,3,Lake,,North Macedonia,,,,,true,2020-11-13T13:54:43.572Z,,,,,,,,,
